Group;Total;FAZ - Sind Algorithmen die besseren Ärzte (D_28763721-637D-444B-ADB8-FF278C9DB23F);FAZ - Sind Algorithmen die besseren Ärzte Default Annotations (C_2DAAB5CA-1118-4703-AE3E-77F03CBA5077);Im Kampf gegen Krebs sind wir mitten in einer explosiven Entwicklung (D_2DE464EE-FF9F-4C8A-A6E6-8763FB6B98F8);Im Kampf gegen Krebs sind wir mitten in einer explosiven Entwicklung Default Annotations (C_3283F2FD-8065-4F41-B2CE-7051F928F5DE);Deutschlandfunk Kultur - KI in der Medizin (D_2E5B6E46-7AC2-4F96-83C3-6DC4D8F0F7AE);Deutschlandfunk Kultur - KI in der Medizin Default Annotations (C_D3153C5D-A3ED-4E3A-A96D-07FAEEB7F654);Ärzteblatt - Künstliche Intelligenz soll MRT-Auswertung beschleunigen (D_3878BC46-DE40-460C-AE96-88E9937E0FE0);Ärzteblatt - Künstliche Intelligenz soll MRT-Auswertung beschleunigen Default Annotations (C_A4E56661-D66B-4EE9-9ADF-815BC159D2A3);Deutschlandfunk - Wenn Computer besser diagnostizieren als Menschen (D_50B0166F-0307-469D-93D8-8A02818C2001);Deutschlandfunk - Wenn Computer besser diagnostizieren als Menschen Default Annotations (C_8C10CDEB-7CE4-41B4-B23C-3E3F494B3B10);Deutschlandfunk Kultur - Kann KI den Krebs besiegen (D_551EF922-7A15-48AA-A448-61D35E420341);Deutschlandfunk Kultur - Kann KI den Krebs besiegen Default Annotations (C_B65E3E18-3FD4-4688-B5F3-FCFF523DD9EB);SWR Wissen - Künstliche Intelligenz im Kampf gegen Krebs (D_5E9CFFAA-5796-40AD-B298-E851D853878E);SWR Wissen - Künstliche Intelligenz im Kampf gegen Krebs Default Annotations (C_AD2AD8F6-8C70-4171-812B-397311956434);TK Manager Deutschland steht kurz vor einer Medizin Revolution (D_622F7E4E-DB15-44D0-BCBE-173325BE07B1);TK Manager Deutschland steht kurz vor einer Medizin Revolution Default Annotations (C_E570D2CB-6B13-4D18-855A-DD4DC790A856);Zeit - Wenn Computer Röntgenbilder auswerten (D_661E6C57-3231-458F-B4F1-7F9DB5AAEE25);Zeit - Wenn Computer Röntgenbilder auswerten Default Annotations (C_8CBE585D-52ED-44EE-A984-BF6BFEB8E62B);Zeit - Dr KI hat nun Zeit für Sie (D_6AA35A82-E135-47DD-AB7A-008B67D15B0E);Zeit - Dr KI hat nun Zeit für Sie Default Annotations (C_402EE761-2697-4E30-B05F-04046F1995FA);rnd - KI im Krankenhaus (D_75DF8484-5689-482A-A4C4-06D81ADD649A);rnd - KI im Krankenhaus Default Annotations (C_4AB9B1D6-4E13-437B-8257-FCFE0CB2359C);DW - KI in der Medizin Der Computer weiß, was dir fehlt (D_782539D2-C020-4FCA-B096-85E1384F4FDC);DW - KI in der Medizin Der Computer weiß, was dir fehlt Default Annotations (C_62D98048-BCAD-4808-AEEE-246654551355);Künstliche Intelligenz hilft, Schizophrenie besser zu verstehen (D_846F9002-59FC-463A-9AE0-0CA686B9D867);Künstliche Intelligenz hilft, Schizophrenie besser zu verstehen Default Annotations (C_74759368-F765-46C3-BEDD-E6DD50E848BC);Studie zeigt großes Potenzial in KI Kooperation (D_869C3658-45CB-4BF1-A748-32D3C2347443);Studie zeigt großes Potenzial in KI Kooperation Default Annotations (C_157C6721-E653-47C4-AD47-293D5F0C5E07);Dr. Algorithmus Wie künstliche Intelligenz Krebspatienten helfen kann (D_904F3385-A505-4D75-9EB2-2B3AF23A15F5);Dr. Algorithmus Wie künstliche Intelligenz Krebspatienten helfen kann Default Annotations (C_268506AD-F993-4107-B860-89771F5FE0B7);Prostatakrebs - Ultraschall und Künstliche Intelligenz liefern Spitzenergebnisse bei Diagnostik (D_918CFCBD-897A-43CF-82DA-3A0775DE7706);Prostatakrebs - Ultraschall und Künstliche Intelligenz liefern Spitzenergebnisse bei Diagnostik Default Annotations (C_8C66AA16-EC22-4184-9049-AADB295313B0);Arzt versus Computer Wer erkennt Brustkrebsmetastasen am besten (D_A0EA56C8-D28B-4CD6-854B-3113D9E70AF2);Ärtzeblatt - Arzt versus Computer: Wer erkennt Brustkrebsmetastasen am besten?  (C_C6FAAC3F-85B5-4C8B-8B6A-935292E74D23);Künstliche Intelligenz eröffnet neue Ansätze in der Psychiatrie (D_A7B9FBD0-2287-4EDA-8CAB-D8D7950E27C0);Künstliche Intelligenz eröffnet neue Ansätze in der Psychiatrie Default Annotations (C_4576201F-29D9-42D7-BDDF-7CFD25F6C567);bz - Wie KI den Krebs besiegen soll (D_BD7AEC40-7C16-4B8A-86E7-9782B8986536);bz - Wie KI den Krebs besiegen soll Default Annotations (C_B84163BD-91B9-4BF0-900A-4BBB6C177570);Künstliche Intelligenz für Ärzte und Patienten-Googeln war gestern (D_BE8A8EE1-EACC-49F3-8DA1-D9D24854E966);Künstliche Intelligenz für Ärzte und Patienten-Googeln war gestern Default Annotations (C_56251606-835A-4BD2-899D-2E2D4E5AD5F1);Künstliche Intelligenz kann Ärzten bei Analyse von Röntgenbildern helfen (D_CA3397A2-4CAE-48CF-B882-387F9B0E461D);Künstliche Intelligenz kann Ärzten bei Analyse von Röntgenbildern helfen Default Annotations (C_DABBC3E5-8ECB-41B7-BD60-BFF0AF43752F);Welt - Dr Algorithmus (D_DE860A69-4DC8-4E9B-9DC1-C78F1B5BD5AF);Welt - Dr Algorithmus Default Annotations (C_58DE592B-5EFF-456E-96A4-9715194C78DA);Diagnosen von Watson (D_E557C93E-4148-47DE-A0C9-C2220DCA9AB8);Diagnosen von Watson Default Annotations (C_0B35B448-4683-45B0-8B23-49FCAF75C3D1);Ein Arzt fordert Wir müssen Computer mit den Wünschen der Patienten füttern (D_F52964CF-D23F-4DC2-A324-38454F6E7CA3);Ein Arzt fordert Wir müssen Computer mit den Wünschen der Patienten füttern Default Annotations (C_7DAEB684-C412-4F0C-AB16-6E362421836D)
/2017;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;1;1;;
/2018;4;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;1;1;;;;;;;1;1;;;;;;;;
/2019;8;;;1;1;;;;;;;;;;;1;1;1;1;;;;;;;1;1;;;1;1;;;;;;;;;;;1;1;1;1;;;1;1
/2020;9;1;1;;;1;1;1;1;1;1;1;1;1;1;;;;;;;1;1;;;;;1;1;;;;;;;;;1;1;;;;;;;;;;
/Algorithm;48;9;9;2;2;1;1;;;9;9;;;6;6;;;;;;;;;;;;;;;1;1;;;4;4;;;;;1;1;;;7;7;;;8;8
/Application;11;;;;;1;1;;;;;;;;;2;2;;;;;;;;;;;1;1;;;;;;;1;1;;;2;2;;;4;4;;;;
/Big Data;5;;;;;;;;;2;2;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;2;2;;;;;;;;
/Brain;3;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
/Chatbot;18;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;16;16;;;;;;;;
/Cloud;3;;;;;2;2;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
/Commentary;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;
/Computer;69;;;8;8;;;;;10;10;3;3;3;3;;;1;1;3;3;1;1;3;3;;;;;9;9;;;6;6;;;;;;;1;1;1;1;1;1;19;19
/Deep Learning / Networks;20;7;7;;;;;;;;;;;1;1;;;1;1;2;2;1;1;;;;;;;;;;;;;1;1;;;2;2;2;2;2;2;1;1;;
/Digitalization;5;;;;;;;;;3;3;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
/Interview;4;;;1;1;1;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
/Machine;21;;;1;1;6;6;;;;;1;1;1;1;;;;;2;2;;;1;1;;;;;;;;;1;1;;;2;2;1;1;;;3;3;2;2;;
/Machine Learning;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;1;1;;
/Product;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;;;;
/Program;6;;;;;;;1;1;;;;;;;;;;;3;3;;;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;
/Report;19;1;1;;;;;1;1;1;1;1;1;1;1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
/Software;34;;;;;1;1;;;;;8;8;;;;;;;14;14;2;2;;;1;1;;;;;;;4;4;;;3;3;;;;;1;1;;;;
/Solution;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;
/System;68;;;6;6;;;;;2;2;2;2;5;5;;;1;1;2;2;13;13;;;;;1;1;11;11;;;;;;;2;2;9;9;6;6;3;3;;;5;5
/Technology;23;;;1;1;3;3;;;;;1;1;;;2;2;1;1;;;1;1;3;3;;;;;1;1;;;;;;;1;1;4;4;;;3;3;;;2;2
/cancer;38;2;2;2;2;;;;;4;4;1;1;2;2;;;1;1;2;2;4;4;2;2;;;1;1;6;6;1;1;4;4;;;1;1;;;1;1;2;2;1;1;1;1
/contra AI;35;3;3;2;2;;;;;2;2;;;1;1;1;1;1;1;3;3;1;1;1;1;;;;;1;1;;;;;;;1;1;3;3;;;3;3;;;12;12
/demands;44;3;3;1;1;2;2;;;5;5;1;1;2;2;7;7;1;1;1;1;1;1;;;;;1;1;4;4;;;;;1;1;;;4;4;;;3;3;3;3;4;4
/negative;3;1;1;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
/neither positive nor negative;8;;;;;1;1;1;1;1;1;;;1;1;;;1;1;;;;;;;;;;;;;;;;;1;1;;;;;1;1;1;1;;;;
/neutral;78;1;1;7;7;1;1;1;1;2;2;;;6;6;3;3;1;1;4;4;6;6;3;3;4;4;5;5;;;;;;;;;4;4;13;13;2;2;10;10;1;1;4;4
/non-cancer;23;1;1;;;;;1;1;1;1;1;1;1;1;;;3;3;1;1;;;4;4;;;;;;;;;;;;;;;1;1;1;1;4;4;3;3;1;1
/opportunity;112;;;2;2;6;6;1;1;7;7;2;2;5;5;6;6;2;2;3;3;6;6;7;7;2;2;6;6;8;8;;;3;3;2;2;9;9;10;10;9;9;14;14;1;1;1;1
/positive;13;;;1;1;;;;;;;1;1;;;1;1;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;1;1;1;1;;;;;1;1;;
/pro AI;126;;;7;7;6;6;;;4;4;11;11;4;4;9;9;1;1;3;3;10;10;7;7;2;2;3;3;7;7;2;2;4;4;4;4;7;7;11;11;4;4;14;14;2;2;4;4
/psychological;7;;;;;;;;;;;1;1;;;;;;;;;;;1;1;1;1;;;;;;;;;3;3;;;1;1;;;;;;;;
/specialized;7;;;;;;;1;1;;;;;;;;;;;;;;;;;1;1;1;1;;;1;1;1;1;1;1;;;1;1;;;;;;;;
/specialized/expert (author)/medicine;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
/specialized/non-expert (author);1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;
/strength;59;;;1;1;2;2;;;2;2;4;4;3;3;3;3;2;2;1;1;4;4;8;8;;;1;1;2;2;3;3;3;3;;;2;2;1;1;2;2;10;10;3;3;2;2
/threat;26;1;1;1;1;3;3;;;5;5;;;;;3;3;;;1;1;1;1;;;;;2;2;2;2;;;;;;;;;2;2;;;2;2;1;1;2;2
/unspecialized;17;1;1;1;1;1;1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;1;1;;;;;;;1;1;;;1;1;1;1;1;1;1;1
/unspecialized/expert (author)/medicine;3;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;1;1
/unspecialized/non-expert (author);11;1;1;;;1;1;;;1;1;1;1;1;1;1;1;;;1;1;;;1;1;;;;;;;;;;;;;1;1;;;;;1;1;1;1;;
/weakness;60;2;2;5;5;1;1;1;1;3;3;;;6;6;2;2;1;1;3;3;4;4;;;;;2;2;5;5;;;;;;;5;5;2;2;2;2;4;4;2;2;10;10
